2026-06-25	Fried Green Tomatoes	2
2026-06-25	Last ExMas	2
2026-06-25	Shakespeare in Love	2
2026-06-25	The Lake House	2
2026-06-25	The Birdcage	2
2026-06-25	What We Do In The Shadows	2
2026-06-25	Planet of the Vampires	2
2026-06-25	Night at the Museum: Battle of the Smithsonian	2
2026-06-25	The Curse of the Cat People	2
2026-06-25	Wizards of Waverly Place: The Movie	2
2026-06-25	Kung Fu Hustle	2
