date	movie	verdict	mood
2026-06-24	Interstellar	like	5
2026-06-24	Sioux Rapids	like	5
2026-06-24	Call Me By Your Name	like	0
2026-06-24	Forrest Gump	like	0
2026-06-24	Metropolis	like	0
2026-06-24	American Beauty	dislike	0
2026-06-24	Wheel of Fortune and Fantasy	dislike	0
2026-06-24	I'm Your Man	unknown	0
2026-06-24	Little Peach	like	0
2026-06-24	Label Me	unknown	0
2026-06-24	Chorabali	dislike	0
2026-06-24	Male Shorts: International V4	dislike	0
2026-06-24	Fujimi Orchestra: Cold Front Conductor	dislike	0
2026-06-24	Little Miss Sunshine	like	0
2026-06-24	The Birdcage	like	2
2026-06-24	Älskling på vift	unknown	2
2026-06-24	Don't Make Grandpa Angry	like	2
2026-06-24	Fried Green Tomatoes	like	2
2026-06-24	Bottoms	like	2
2026-06-24	Take A Friend	like	2
2026-06-24	The Breakfast Club	dislike	2
2026-06-24	Chasing Amy	dislike	2
2026-06-24	Bros	like	2
2026-06-24	Lucicreide Goes to Mars	like	2
2026-06-25	Bottoms	like	2
2026-06-25	Take A Friend	like	2
2026-06-25	Bros	like	2
2026-06-25	Teenage Mutant Ninja Turtles: Mutant Mayhem	like	2
2026-06-25	Lucicreide Goes to Mars	like	2
2026-06-25	Rush Hour	like	2
2026-06-25	The Birdcage	like	2
2026-06-25	Älskling på vift	dislike	2
2026-06-25	Don't Make Grandpa Angry	dislike	2
2026-06-25	Fried Green Tomatoes	like	2
2026-06-25	The Lake House	like	2
2026-06-25	Shakespeare in Love	like	2
2026-06-25	Last ExMas	like	2
2026-06-25	The Inspector-General	dislike	2
2026-06-25	What We Do In The Shadows	like	2
2026-06-25	Spirit vs. Zombie	unknown	2
2026-06-25	Silver Bullet	unknown	2
2026-06-25	Planet of the Vampires	like	2
2026-06-25	The Curse of the Cat People	like	2
2026-06-25	Night at the Museum: Battle of the Smithsonian	like	2
2026-06-25	Grand Budapest Hotel	like	2
2026-06-25	Evil Bookstore	like	2
2026-06-25	The Elephant Man	like	2
2026-06-25	Alice in the Cities	dislike	2
2026-06-25	4 Months, 3 Weeks and 2 Days	dislike	2
2026-06-25	The Suicide Squad	like	2
2026-06-25	Bill Burr: Live at Red Rocks	dislike	2
2026-06-25	Secret Sunshine	like	2
2026-06-25	Me, Myself & Irene	dislike	2
2026-06-25	Mr. Holland's Opus	dislike	2
2026-06-25	Moonstruck	like	2
2026-06-25	Payback	dislike	2
2026-06-25	The Cotton Club	like	2
2026-06-25	Kung Fu Hustle	like	2
2026-06-25	Bless Me Father	dislike	2
2026-06-25	Charley Varrick	dislike	2
2026-06-25	Wizards of Waverly Place: The Movie	like	2
2026-06-25	The Outfit	dislike	2
2026-06-25	Force of Evil	dislike	2
2026-06-25	The Doorway to Hell	dislike	2
2026-06-25	Forbidden	dislike	2
2026-06-25	Mister America	dislike	2
2026-06-25	Zëiram	dislike	2
2026-06-25	Feathers	dislike	2
2026-06-25	In the Blood	dislike	2
2026-06-25	Trespass Against Us	dislike	2
2026-06-25	Braddock: Missing in Action III	dislike	2
2026-06-26	Call Me By Your Name	like	0
